1a. State,1b. LEA or entity name,1c. LEA ID,1f. City,2c. Fleet operator 1,2c. Fleet operator 2,3a. Number of ESBs committed ,3n. Current status of bus,3o. Batch,3p. Quarter awarded,3q. Quarter ordered,3r. Quarter delivered,3s. Quarter first operating,3t. Bus OEM,3u. Electric powertrain manufacturer,3v. Model,3w. Type,3x. Dealer,3y. Multiple funding sources used?,3z. Funding source 1,3aa. Agency administering funds 1,3z. Funding source 2,3aa. Agency administering funds 2,3z. Funding source 3,3aa. Agency administering funds 3,3z. Funding source 4,3aa. Agency administering funds 4,3ab. Dollar amount toward bus,3ac. Charging company,3ad. Charging funding source,3ae. Dollar amount toward charger
CALIFORNIA,Menlo School,00080916,Atherton,Zum,,1,Operating,1,2020 Q1,2020 Q4,2022 Q1,2022 Q1,Lion Electric,,LionC,C,,No,Community Air Protection Incentive Project,California Air Resources Board (CARB),,,,,,,,ClipperCreek,,
CALIFORNIA,The Nueva Middle School,00089169,Hillsborough,Zum,,1,Operating,1,2020 Q1,2020 Q4,2022 Q1,2022 Q1,Lion Electric,,LionC,C,,No,,,,,,,,,,,,
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2024 Q1,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2024 Q1,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2024 Q1,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2024 Q1,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2024 Q1,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Albertville City,0100005,Albertville,,,19,Operating,1,2022 Q4,2023 Q2,2023 Q3,2023 Q3,IC Bus,,PB10E,C,Southland International Trucks,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
CALIFORNIA,Baldwin Park Unified,0603690,Baldwin Park,,,14,Ordered,1,2017 Q2,2022 Q1,,,Blue Bird,,All American RE,D,A-Z Bus Sales,Yes,Carl Moyer Program,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$267,981 ",,,"$20,000 "
CALIFORNIA,Baldwin Park Unified,0603690,Baldwin Park,,,14,Ordered,1,2017 Q2,2022 Q1,,,Blue Bird,,All American RE,D,A-Z Bus Sales,Yes,Carl Moyer Program,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$267,981 ",,,"$20,000 "
CALIFORNIA,Paradise Unified,0629820,Paradise,,,3,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,eLion,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$345,374 ",,,
CALIFORNIA,Paradise Unified,0629820,Paradise,,,3,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$345,374 ",,,
