lea_id,state,district_name,esb_committed,committed,total_buses,contractor,locale,region,pct_frl,pct_poverty,income_med,pct_nonwhite_hisp,pm25,ozone,asthma18p,pod,applied_not_awarded,arp_qualified,epa2022_prioritized,epa2023_prioritized,pct_esb_fleet
4500690,SOUTH CAROLINA,Abbeville 60,8,1,33,NA,Rural,South,82,17.1,45699,31.7,8.8,62.1,10.4,0,NA,0,1,0,24
2800360,MISSISSIPPI,ABERDEEN SCHOOL DIST,4,1,NA,NA,Town,South,100,21.9,44891,38.3,9.3,57.6,10.7,1,NA,0,1,1,NA
0100002,ALABAMA,Alabama Youth Services,0,0,NA,NA,Rural,South,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
1700105,ILLINOIS,A-C Central CUSD 262,2,1,12,NA,Rural,Midwest,45,7.7,62722,4.2,8.3,58.8,9.2,0,NA,0,1,0,17
0100006,ALABAMA,Marshall County,0,0,112,NA,Rural,South,56,16.1,56121,20.1,8.7,60.7,10,0,NA,0,1,1,0
0100007,ALABAMA,Hoover City,0,0,189,NA,Urban,South,31,7,95406,28.6,10.2,66.6,8.4,0,NA,0,0,0,0
0100008,ALABAMA,Madison City,0,0,109,NA,Suburban,South,23,5,105335,33.8,8.5,60.2,8.9,0,NA,0,0,0,0
0100009,ALABAMA,Al Inst Deaf And Blind,0,0,NA,NA,Town,South,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
0100010,ALABAMA,Al Sch Of Math And Science,0,0,NA,NA,Urban,South,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
0100011,ALABAMA,Leeds City,0,0,26,NA,Suburban,South,54,8.5,62432,17.4,9.8,63.7,9.6,0,NA,1,0,1,0
0100012,ALABAMA,Boaz City,0,0,36,NA,Town,South,73,21.6,40732,23.3,9,60.5,9.9,0,NA,0,1,1,0
0100013,ALABAMA,Trussville City,0,0,72,NA,Suburban,South,16,3.7,108313,21.6,9.8,63.6,8.3,0,NA,0,0,0,0
0100018,ALABAMA,Alabama School of Fine Arts,0,0,NA,NA,Urban,South,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0
0100030,ALABAMA,Alexander City,0,0,33,NA,Town,South,45,16.2,46750,30.9,9.2,58.7,10.6,0,NA,0,1,1,0
0100060,ALABAMA,Andalusia City,0,0,24,NA,Town,South,64,22.9,40516,18.6,8.6,58.1,10.4,0,NA,0,1,1,0
0100090,ALABAMA,Anniston City,0,0,31,NA,Urban,South,82,22.8,39928,44.7,9.3,60.9,10.8,1,NA,0,1,1,0
0100100,ALABAMA,Arab City,0,0,27,NA,Rural,South,46,14.2,50321,7,8.7,61.4,10.1,0,NA,1,0,0,0
0100120,ALABAMA,Athens City,0,0,30,NA,Town,South,51,13.6,52211,25.1,8.2,58.7,10,0,NA,0,0,0,0
0100176,ALABAMA,JF Ingram State Technical College,0,0,NA,NA,Suburban,South,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,0
0100180,ALABAMA,Attalla City,0,0,19,NA,Suburban,South,82,12.1,46278,20.5,9.2,61,9.6,0,NA,0,1,1,0
0100185,ALABAMA,Saraland City,0,0,44,NA,Suburban,South,49,7.8,61216,24.6,9.3,58.4,9.7,0,NA,1,0,0,0
0100188,ALABAMA,Chickasaw City,0,0,11,NA,Suburban,South,78,34.2,36196,52.5,9.3,58.7,10.8,1,NA,0,1,1,0
